ID,red,yellow,blue,black,white,r,g,b
7877,0.45,0,0,0,1.29,222,109,142
7878,0.45,0,0,0,1.27,214,129,154
7879,0.45,0,0,0,1.25,217,106,136
7880,0.45,0,0.14000000000000012,0,1.25,168,145,201
7881,0.45,0,0.14000000000000012,0,1.25,148,111,143
7882,0.45,0,1.4200000000000002,0,1.25,69,108,170
7883,0.45,0,0.14000000000000012,0,1.25,61,94,152
7884,0.7,1.72,0.33000000000000007,0.45999999999999996,0,95,95,62
7885,0.7,1.72,0.33000000000000007,0.45999999999999996,0,93,85,52
7886,0.7,1.72,0.33000000000000007,0.45999999999999996,0,78,76,45
7887,0.7,1.72,0.33000000000000007,1.1600000000000001,0,55,57,39
7888,0.7,1.72,0.33000000000000007,1.1600000000000001,0,100,93,73
7889,0.7,1.72,0.33000000000000007,1.13,0,82,81,56
7890,0.7,1.72,0.33000000000000007,1.1600000000000001,1.4100000000000001,97,90,82
7891,0.7,1.72,0.33000000000000007,1.1600000000000001,1.4100000000000001,107,100,92
7892,0.7,1.72,0.33000000000000007,1.1600000000000001,2.2699999999999996,132,126,124
7893,0.7,1.72,0.33000000000000007,1.1600000000000001,2.2699999999999996,96,100,99
7894,0.68,0.8200000000000001,0.11,0,0,71,52,50
7895,0.92,2.1799999999999997,0.4,0,0,41,36,16
7896,0.7000000000000002,0.33999999999999986,0.42,0,0.9900000000000002,95,90,84
7897,0.33,0.77,2.09,0,0,66,93,45
7898,1.9700000000000002,1.25,0.48,0,8.05,183,153,162
7899,0.38,0.43000000000000005,0,0,0.7,234,117,123
7900,0.38,0.43000000000000005,0,0,0.7,243,139,148
7901,0.38,0.43000000000000005,0,0,0.7,255,147,142
7902,0.79,0.75,0,0,0.1399999999999999,173,57,59
7903,0.54,0.43999999999999995,0,0,0,184,66,55
7904,1.02,0.3500000000000001,0,0,0,193,27,43
7905,1.01,0.3600000000000001,0,0,0,218,54,64
7906,1,0.3700000000000001,0,0,0,169,64,68
7907,0.30000000000000004,0.37,0,0.06399999999999995,0,112,31,10
7908,0.30000000000000004,0.37,0,0.07999999999999996,0,122,31,6
7909,0.41,0.4000000000000001,0,2.43,0,15,16,13
7910,0.41,0.4000000000000001,0,2.43,0,14,14,12
7911,0.4,2.65,0,0,0,211,95,0
7912,0.48,2.66,0,0,0.46999999999999975,213,121,56
7913,0.48,2.66,0,0,0.44999999999999973,216,119,49
7915,0.58,3.07,0,0,8.799999999999999,218,194,169
7916,0.58,3.12,0,0,8.75,235,209,182
7917,0.38,2.24,0,0.29000000000000004,0,124,89,9
7918,0.38,2.24,0,0.2999999999999998,0,111,74,3
7919,0.3,1.29,0,4.05,0,25,31,16
7920,0.3,1.32,0,4.13,0,31,40,24
7921,0.28,2.0199999999999996,0,1.2200000000000002,0,49,49,13
7922,0.28,2.04,0,1.2000000000000002,0,52,52,18
7923,0.75,0,0.6799999999999999,0,0,27,20,46
7924,0.75,0,0.6799999999999999,0,0,42,36,65
7925,0.67,0,0.58,0,1.48,86,81,93
7926,0.67,0,0.58,0,1.48,94,92,109
7927,0.45,0,0.31,0,2.5300000000000002,127,107,119
7928,0.45,0,0.31,0,2.5300000000000002,168,145,159
7929,1.77,0,0.25,0,0,67,23,18
7930,1.97,0,0.3800000000000001,0,0.8500000000000001,135,72,119
7931,1.97,0,0.3800000000000001,0,0.8500000000000001,123,72,123
7932,1.81,0,0.33999999999999986,0,3.5000000000000004,142,92,155
7933,1.21,0,0.18999999999999995,0.32000000000000006,0,72,44,30
7934,1.21,0,0.16999999999999993,0.3400000000000001,0,104,70,60
7935,0,1.41,0,0,0.6100000000000001,232,225,80
7936,0,1.41,0,0,0.5999999999999999,205,186,0
7937,0,2.29,0,0.5800000000000001,0,81,129,32
7938,0,0.65,0,0,2.54,222,240,160
7939,0,0.66,0,0,2.53,213,231,149
7940,0,1.28,0,0.28,2.26,219,223,192
7941,0,1.28,0,0.28,2.26,202,207,178
7944,0,0.55,0,0.6199999999999999,1.04,114,108,97
7945,0,0.55,0,0.6199999999999999,1.04,118,111,101
7946,0.29,0.34,0.62,0,0,28,33,37
7947,0.29,0.33,0.63,0,0,27,32,35
